company,average_rating,average_sentiment_score,review_count,rating_sentiment_discrepancy
A-1 Technology Inc.,4.5,0.49001249999999996,8,4.0099875
Bacancy,4.0,0.799275,8,3.2007250000000003
Blue Yonder,4.25,0.5091,8,3.7409
Cadence Design Systems,4.125,0.501,8,3.624
Capgemini,4.145833333333333,0.52064375,48,3.625189583333333
Chegg,3.75,0.375,8,3.375
Cisco,4.8,0.6678900000000001,10,4.13211
Cognizant,3.9615384615384617,0.43103269230769226,52,3.5305057692307695
Cybage Software,4.0,0.5627500000000001,8,3.4372499999999997
EPAM Systems,4.083333333333333,0.6431458333333333,24,3.4401874999999995
Experion Technologies,4.25,0.5736,8,3.6764
FCS Software Solutions,3.75,0.2139625,8,3.5360375
Google,4.8125,0.864875,16,3.947625
HCL,3.7735849056603774,0.31245471698113203,53,3.4611301886792454
Honeywell,4.75,0.622025,8,4.127975
IBM,4.545454545454546,0.5642854545454545,55,3.9811690909090913
IndiaNIC,3.0,0.463625,8,2.536375
Infor,3.625,0.522025,8,3.102975
Infosys,4.4,0.5246109090909091,55,3.875389090909091
Iris Software,3.375,0.7163125,8,2.6586875
KPIT Technologies,4.375,0.6326875,16,3.7423125
Kays Harbor Technologies,5.0,0.9372875,8,4.0627125
MakeMyTrip,1.5,-0.20042500000000002,8,1.700425
Meta,5.0,0.4404,1,4.5596
Microsoft,1.0,-0.4215,1,1.4215
NVIDIA,4.25,0.44065,8,3.8093500000000002
Net Solutions,2.875,0.3048,8,2.5702
NetGains Technologies Pvt Ltd,5.0,0.9627,1,4.0373
Netsmartz,2.875,0.36060000000000003,8,2.5144
Oracle,4.395833333333333,0.5206625,48,3.875170833333333
QBurst,4.125,0.7918,8,3.3332
Red Hat,4.125,0.6972,8,3.4278
SAP,4.8125,0.804725,16,4.007775
Salesforce,4.0,0.659275,8,3.340725
Seasia Infotech Pvt Ltd,4.25,0.7537,8,3.4962999999999997
ServiceNow,4.75,0.8780875,8,3.8719125
Simform,3.5,0.7552625,8,2.7447375000000003
Sophos,4.875,0.8385374999999999,8,4.0364625
Speridian Technologies,1.75,-0.17057499999999998,8,1.920575
Synechron,4.25,0.607775,8,3.642225
Synopsys,5.0,0.41209999999999997,3,4.5879
TCS,4.083333333333333,0.5670083333333333,48,3.5163249999999997
TaskUs,2.75,-0.0938625,8,2.8438625
Tatvasoft,4.375,0.5868625,8,3.7881375
Tech Mahindra,3.2857142857142856,0.19612222222222223,63,3.0895920634920633
Thomson Reuters,4.875,0.7469,8,4.1281
Tietoevry,4.0,0.475325,8,3.5246750000000002
ValueLabs,1.0,-0.11140000000000001,8,1.1114
Veritas Technologies,4.625,0.7480125,8,3.8769875000000003
Wipro,4.384615384615385,0.30665769230769235,26,4.077957692307693
YES,4.666666666666667,0.2977166666666667,6,4.36895
Yardi Systems,1.5,-0.5588625,8,2.0588625
